,date,slice id,state,filename,file key
94,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000016 f-I curve +20~+300
95,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000017 f-I curve +20~+300
96,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000018 f-I curve +20~+300
97,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000019 f-I curve +20~+300
98,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000020 f-I curve +20~+300
99,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000021 f-I curve +20~+300
100,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000022 f-I curve +20~+300
101,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000023 f-I curve +20~+300
102,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000024 f-I curve +20~+300
103,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000025 f-I curve +20~+300
104,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000001 f-I curve +20~+300
105,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000002 f-I curve +20~+300
106,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000003 f-I curve +20~+300
107,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000004 f-I curve +20~+300
108,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000005 f-I curve +20~+300
109,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000006 f-I curve +20~+300
110,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000007 f-I curve +20~+300
111,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000008 f-I curve +20~+300
112,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000009 f-I curve +20~+300
113,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000010 f-I curve +20~+300
114,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000011 f-I curve +20~+300
115,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000012 f-I curve +20~+300
116,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000013 f-I curve +20~+300
117,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000014 f-I curve +20~+300
118,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000015 f-I curve +20~+300
119,2018-07-25,Slice2c3,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice2c3fI.hdf5,000016 f-I curve +20~+300
120,2018-07-25,Slice3c2,6ohda,dataset/2018-07-25_NS/2018-07-25 Slice3c2fI.hdf5,000001 f-I curve +20~+300
