,etype,cellid,seed,state,protocol,amplitude,duration,adaptation_index2,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim,voltage_deflection,AP_amplitude,AP1_amp,AP2_amp,fast_AHP,AHP_depth,AP_amplitude_change,sag_amplitude
0,lesioned_719,2028,3,6ohda,fi,260,2000,0.0025021870752506394,72,0,0,-67.43804414844033,-68.47461844645379,14.132472468412928,43.01136612957179,43.01136612957179,51.48104959146425,16.556006897028375,10.625614305692956,0.19691733195308253,
0,lesioned_719,2028,3,6ohda,fi,280,2000,0.0028908838995230467,78,0,0,-67.43788512540824,-68.48639146164443,12.416174394638375,28.83578609307869,28.83578609307869,29.814829974178434,18.721974317957937,10.955994358431177,0.03395239089163379,
0,lesioned_719,2028,3,6ohda,fi,300,2000,0.006176544597349452,86,0,0,-67.43772716457444,-68.49599580122488,55.40183198515962,28.53973682796599,28.53973682796599,21.095602738794906,18.64925359052897,11.142778898549132,-0.2608340130830009,
0,lesioned_719,2028,3,6ohda,tburst,-50,2000,,0,0,0,-67.44050067622062,-67.38722617514033,-5.492740014773673,,,,,,,1.4855990099400316
0,lesioned_719,2028,3,6ohda,tburst,-100,2000,,3,0,3,-67.44089674614945,-67.32932231263324,-11.894585558245325,,,,14.429203904715656,13.163011045106046,,2.7006392339814482
0,lesioned_719,2028,3,6ohda,tburst,-150,2000,,8,0,8,-67.441293227086,-67.1195049102655,-18.465351425235724,,,,3.221053301010542,20.173798071760046,,4.315854808743325
0,lesioned_719,2028,3,6ohda,tburst,-200,2000,,10,0,10,-67.4416894780898,-66.72526221025473,-24.00391020827547,,,,0.2675075602971049,22.750444217311063,,7.13052777420522
0,lesioned_719,2028,3,6ohda,tburst,-250,2000,,11,0,11,-67.44208601145897,-66.27758980692758,-28.929687426470934,,,,1.7913550831527871,23.228190810025446,,10.067793162640967
0,lesioned_719,2028,3,6ohda,tburst,-300,2000,,11,0,11,-67.44248203224274,-65.9546529485523,-33.82760478448054,,,,-0.24515269012503182,24.02702653599168,,12.35801504561445
0,lesioned_719,2028,3,6ohda,tburst,-50,500,,0,0,0,-67.44050067622062,-67.54161271617978,-5.675335447958332,,,,,,,1.2989824824886114
0,lesioned_719,2028,3,6ohda,tburst,-100,500,,4,0,4,-67.44089674614945,-67.58724268497305,-13.02620231531995,,,,13.637772128488422,14.193235365343547,,1.5598549952747192
0,lesioned_719,2028,3,6ohda,tburst,-150,500,,9,0,9,-67.441293227086,-67.54792088725922,-21.30651002687644,,,,3.1732580775052526,19.79078129576604,,1.4607333025754627
0,lesioned_719,2028,3,6ohda,tburst,-200,500,,10,0,10,-67.4416894780898,-67.34199020664772,-28.361292251230353,,,,4.194088843101319,21.73881663833364,,2.6841851093079754
